date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:47:18	103179/103179	---MCZ	200	added ('OK')	text/html	date:Mon,%2014%20Sep%202026%2017:17:17%20GMT	https://leverage-template.webflow.io/about	C:/My%20Web%20Sites/EdgeMark/leverage-template.webflow.io/about.html	(from )
22:47:18	64132/64132	---MCZ	200	added ('OK')	text/html	date:Mon,%2014%20Sep%202026%2017:14:41%20GMT	https://leverage-template.webflow.io/services	C:/My%20Web%20Sites/EdgeMark/leverage-template.webflow.io/services.html	(from )
22:47:18	6495/6495	---M--	502	error ('Bad%20Gateway')	text/html	date:Mon,%2014%20Sep%202026%2017:17:18%20GMT	https://leverage-template.webflow.io/	C:/My%20Web%20Sites/EdgeMark/leverage-template.webflow.io/index.html	(from )
22:47:19	56363/56363	---MCZ	200	added ('OK')	text/html	date:Mon,%2014%20Sep%202026%2017:17:18%20GMT	https://leverage-template.webflow.io/contact-us	C:/My%20Web%20Sites/EdgeMark/leverage-template.webflow.io/contact-us.html	(from )
22:47:19	58417/58417	---MCZ	200	added ('OK')	text/html	date:Mon,%2014%20Sep%202026%2017:15:03%20GMT	https://leverage-template.webflow.io/projects	C:/My%20Web%20Sites/EdgeMark/leverage-template.webflow.io/projects.html	(from )
22:47:19	53628/53628	---MCZ	200	added ('OK')	text/html	date:Mon,%2014%20Sep%202026%2017:17:18%20GMT	https://leverage-template.webflow.io/project/video-marketing	C:/My%20Web%20Sites/EdgeMark/leverage-template.webflow.io/project/video-marketing.html	(from )
22:47:19	80587/80587	---MCZ	200	added ('OK')	text/html	date:Mon,%2014%20Sep%202026%2017:15:28%20GMT	https://leverage-template.webflow.io/prices	C:/My%20Web%20Sites/EdgeMark/leverage-template.webflow.io/prices.html	(from )
22:47:20	70112/70112	---MCZ	200	added ('OK')	text/html	date:Mon,%2014%20Sep%202026%2017:17:19%20GMT	https://leverage-template.webflow.io/team-member	C:/My%20Web%20Sites/EdgeMark/leverage-template.webflow.io/team-member.html	(from )
22:47:20	116649/116649	---MCZ	200	added ('OK')	text/html	date:Mon,%2014%20Sep%202026%2017:15:46%20GMT	https://leverage-template.webflow.io/blogs	C:/My%20Web%20Sites/EdgeMark/leverage-template.webflow.io/blogs.html	(from )
22:47:20	59242/59242	---MCZ	200	added ('OK')	text/html	date:Mon,%2014%20Sep%202026%2017:17:19%20GMT	https://leverage-template.webflow.io/post/email-campaigns-that-drive-conversions-fast	C:/My%20Web%20Sites/EdgeMark/leverage-template.webflow.io/post/email-campaigns-that-drive-conversions-fast.html	(from )
22:47:21	53682/53682	---MCZ	200	added ('OK')	text/html	date:Mon,%2014%20Sep%202026%2017:16:09%20GMT	https://leverage-template.webflow.io/service/content-marketing	C:/My%20Web%20Sites/EdgeMark/leverage-template.webflow.io/service/content-marketing.html	(from )
22:47:21	42082/42082	---MCZ	200	added ('OK')	text/html	date:Mon,%2014%20Sep%202026%2017:17:20%20GMT	https://leverage-template.webflow.io/404	C:/My%20Web%20Sites/EdgeMark/leverage-template.webflow.io/404.html	(from )
22:47:21	45/45	U--MCZ	200	updated ('OK')	text/plain	date:Mon,%2014%20Sep%202026%2017:17:21%20GMT	https://leverage-template.webflow.io/robots.txt		(from )
22:47:22	6495/6495	---M--	502	error ('Bad%20Gateway')	text/html	date:Mon,%2014%20Sep%202026%2017:17:21%20GMT	https://leverage-template.webflow.io/	C:/My%20Web%20Sites/EdgeMark/leverage-template.webflow.io/index.html	(from )
22:47:23	253934/253934	---MCZ	200	added ('OK')	text/css	etag:W/%22d285f9962ff0b6568d033c93fc69598f%22	https://cdn.prod.website-files.com/69dcb5467199b638883f4588/css/leverage-template.webflow.shared.5476d999a.css	C:/My%20Web%20Sites/EdgeMark/cdn.prod.website-files.com/69dcb5467199b638883f4588/css/leverage-template.webflow.shared.5476d999a.css	(from https://leverage-template.webflow.io/about)
22:47:23	13188/13188	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	C:/My%20Web%20Sites/EdgeMark/ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	(from https://leverage-template.webflow.io/about)
22:47:23	465/465	---M--	200	added ('OK')	image/png	etag:%226e91981dcc0184a5ea3cd77779ba01b0%22	https://cdn.prod.website-files.com/69dcb5467199b638883f4588/69dcb7208079c3906b6b6b88_Favicon-32.png	C:/My%20Web%20Sites/EdgeMark/cdn.prod.website-files.com/69dcb5467199b638883f4588/69dcb7208079c3906b6b6b88_Favicon-32.png	(from https://leverage-template.webflow.io/about)
22:47:24	1500/1500	---M--	200	added ('OK')	image/png	etag:%220c816db7238d0d3d6f8577b4aeaa6f7d%22	https://cdn.prod.website-files.com/69dcb5467199b638883f4588/69dcb7270523b6058615f5b1_Favicon-256.png	C:/My%20Web%20Sites/EdgeMark/cdn.prod.website-files.com/69dcb5467199b638883f4588/69dcb7270523b6058615f5b1_Favicon-256.png	(from https://leverage-template.webflow.io/about)
22:47:25	41457/41457	---MCZ	200	added ('OK')	text/javascript	etag:W/%22675de3961ffdf5177c9ede665643df73%22	https://validation-worker.createsomething.workers.dev/app-validator/snippet/review.js	C:/My%20Web%20Sites/EdgeMark/validation-worker.createsomething.workers.dev/app-validator/snippet/review.js	(from https://leverage-template.webflow.io/about)
22:47:25	6495/6495	---M--	502	error ('Bad%20Gateway')	text/html	date:Mon,%2014%20Sep%202026%2017:17:25%20GMT	https://leverage-template.webflow.io/team-member/ethan-brooks	C:/My%20Web%20Sites/EdgeMark/leverage-template.webflow.io/team-member/ethan-brooks	(from https://leverage-template.webflow.io/about)
22:47:26	47876/47876	---MCZ	200	added ('OK')	text/html	date:Mon,%2014%20Sep%202026%2017:17:25%20GMT	https://leverage-template.webflow.io/utility-pages/style-guide	C:/My%20Web%20Sites/EdgeMark/leverage-template.webflow.io/utility-pages/style-guide.html	(from https://leverage-template.webflow.io/about)
22:47:26	6495/6495	---M--	502	error ('Bad%20Gateway')	text/html	date:Mon,%2014%20Sep%202026%2017:17:26%20GMT	https://leverage-template.webflow.io/utility-pages/licenses	C:/My%20Web%20Sites/EdgeMark/leverage-template.webflow.io/utility-pages/licenses	(from https://leverage-template.webflow.io/about)
22:47:27	6495/6495	---M--	502	error ('Bad%20Gateway')	text/html	date:Mon,%2014%20Sep%202026%2017:17:26%20GMT	https://leverage-template.webflow.io/utility-pages/changelog	C:/My%20Web%20Sites/EdgeMark/leverage-template.webflow.io/utility-pages/changelog	(from https://leverage-template.webflow.io/about)
22:47:27	60471/60471	---MCZ	200	added ('OK')	text/html	date:Mon,%2014%20Sep%202026%2017:17:26%20GMT	https://leverage-template.webflow.io/utility-pages/instructions	C:/My%20Web%20Sites/EdgeMark/leverage-template.webflow.io/utility-pages/instructions.html	(from https://leverage-template.webflow.io/about)
22:47:27	6495/6495	---M--	502	error ('Bad%20Gateway')	text/html	date:Mon,%2014%20Sep%202026%2017:17:27%20GMT	https://leverage-template.webflow.io/team-member/ava-thompson	C:/My%20Web%20Sites/EdgeMark/leverage-template.webflow.io/team-member/ava-thompson	(from https://leverage-template.webflow.io/about)
22:47:28	76217/76217	---M--	200	added ('OK')	image/jpeg	etag:%225f94888a819b6674ab4041544362a074%22	https://cdn.prod.website-files.com/69e362f3ced6e65f05bdec7d/69f992fb36485e65440a1143_Team_01.jpg	C:/My%20Web%20Sites/EdgeMark/cdn.prod.website-files.com/69e362f3ced6e65f05bdec7d/69f992fb36485e65440a1143_Team_01.jpg	(from https://leverage-template.webflow.io/about)
22:47:28	6495/6495	---M--	502	error ('Bad%20Gateway')	text/html	date:Mon,%2014%20Sep%202026%2017:17:27%20GMT	https://leverage-template.webflow.io/team-member/jackson-smith	C:/My%20Web%20Sites/EdgeMark/leverage-template.webflow.io/team-member/jackson-smith	(from https://leverage-template.webflow.io/about)
22:47:28	88557/88557	---M--	200	added ('OK')	image/jpeg	etag:%22b652abd8ce15850a5512cf2de731752a%22	https://cdn.prod.website-files.com/69e362f3ced6e65f05bdec7d/69f9a4658bca26e4fb2a6d7a_Team_02.jpg	C:/My%20Web%20Sites/EdgeMark/cdn.prod.website-files.com/69e362f3ced6e65f05bdec7d/69f9a4658bca26e4fb2a6d7a_Team_02.jpg	(from https://leverage-template.webflow.io/about)
22:47:29	6495/6495	---M--	502	error ('Bad%20Gateway')	text/html	date:Mon,%2014%20Sep%202026%2017:17:28%20GMT	https://leverage-template.webflow.io/team-member/chloe-rivera	C:/My%20Web%20Sites/EdgeMark/leverage-template.webflow.io/team-member/chloe-rivera	(from https://leverage-template.webflow.io/about)
22:47:29	69737/69737	---M--	200	added ('OK')	image/jpeg	etag:%2236acf3656c5ac682543c424315b7193a%22	https://cdn.prod.website-files.com/69e362f3ced6e65f05bdec7d/69f9a4cf65673fd058e44b9e_Team_03.jpg	C:/My%20Web%20Sites/EdgeMark/cdn.prod.website-files.com/69e362f3ced6e65f05bdec7d/69f9a4cf65673fd058e44b9e_Team_03.jpg	(from https://leverage-template.webflow.io/about)
22:47:29	42156/42156	---MCZ	200	added ('OK')	text/html	date:Mon,%2014%20Sep%202026%2017:16:32%20GMT	https://leverage-template.webflow.io/401	C:/My%20Web%20Sites/EdgeMark/leverage-template.webflow.io/401.html	(from https://leverage-template.webflow.io/about)
22:47:32	89476/89476	---MCZ	200	added ('OK')	application/javascript	etag:W/%22dc5e7f18c8d36ac1d3d4753a87c98d0a%22	https://d3e54v103j8qbb.cloudfront.net/js/jquery-3.5.1.min.dc5e7f18c8.js?site=69dcb5467199b638883f4588	C:/My%20Web%20Sites/EdgeMark/d3e54v103j8qbb.cloudfront.net/js/jquery-3.5.1.min.dc5e7f18c8d5a0.js	(from https://leverage-template.webflow.io/about)
22:47:32	209024/209024	---MCZ	200	added ('OK')	text/javascript	etag:W/%22e04eb97f3bc3a670071725fad45e73a9%22	https://cdn.prod.website-files.com/69dcb5467199b638883f4588/js/webflow.schunk.f106d14b02064521.js	C:/My%20Web%20Sites/EdgeMark/cdn.prod.website-files.com/69dcb5467199b638883f4588/js/webflow.schunk.f106d14b02064521.js	(from https://leverage-template.webflow.io/about)
22:47:32	36920/36920	---MCZ	200	added ('OK')	text/javascript	etag:W/%228e2772a8088efb058e30c941e59b94fe%22	https://cdn.prod.website-files.com/69dcb5467199b638883f4588/js/webflow.43c4f8a1.dd89c804c3a9b266.js	C:/My%20Web%20Sites/EdgeMark/cdn.prod.website-files.com/69dcb5467199b638883f4588/js/webflow.43c4f8a1.dd89c804c3a9b266.js	(from https://leverage-template.webflow.io/about)
22:47:33	72927/72927	---MCZ	200	added ('OK')	text/javascript	etag:W/%22bf3fd8ec2a5d9f4531b4c310222361f8%22	https://cdn.prod.website-files.com/gsap/3.15.0/gsap.min.js	C:/My%20Web%20Sites/EdgeMark/cdn.prod.website-files.com/gsap/3.15.0/gsap.min.js	(from https://leverage-template.webflow.io/about)
22:47:33	7732/7732	---MCZ	200	added ('OK')	text/javascript	etag:W/%228b363297044e4ded73dc94acb087cbdc%22	https://cdn.prod.website-files.com/gsap/3.15.0/SplitText.min.js	C:/My%20Web%20Sites/EdgeMark/cdn.prod.website-files.com/gsap/3.15.0/SplitText.min.js	(from https://leverage-template.webflow.io/about)
22:47:33	44575/44575	---MCZ	200	added ('OK')	text/javascript	etag:W/%225445d0e95e612449839d2462ba8ab7d0%22	https://cdn.prod.website-files.com/gsap/3.15.0/ScrollTrigger.min.js	C:/My%20Web%20Sites/EdgeMark/cdn.prod.website-files.com/gsap/3.15.0/ScrollTrigger.min.js	(from https://leverage-template.webflow.io/about)
22:47:34	12197/12197	---M-Z	200	added ('OK')	application/javascript	etag:W/%222fa5-rq16ZpwxOw4PWz0ihdzs9bRalJs%22	https://cdn.jsdelivr.net/gh/studio-freight/lenis@1.0.23/bundled/lenis.min.js	C:/My%20Web%20Sites/EdgeMark/cdn.jsdelivr.net/gh/studio-freight/lenis@1.0.23/bundled/lenis.min.js	(from https://leverage-template.webflow.io/about)
22:47:35	6495/6495	---M--	502	error ('Bad%20Gateway')	text/html	date:Mon,%2014%20Sep%202026%2017:17:34%20GMT	https://leverage-template.webflow.io/service/marketing-strategy	C:/My%20Web%20Sites/EdgeMark/leverage-template.webflow.io/service/marketing-strategy	(from https://leverage-template.webflow.io/services)
22:47:35	6495/6495	---M--	502	error ('Bad%20Gateway')	text/html	date:Mon,%2014%20Sep%202026%2017:17:34%20GMT	https://leverage-template.webflow.io/service/lead-generation	C:/My%20Web%20Sites/EdgeMark/leverage-template.webflow.io/service/lead-generation	(from https://leverage-template.webflow.io/services)
22:47:35	6495/6495	---M--	502	error ('Bad%20Gateway')	text/html	date:Mon,%2014%20Sep%202026%2017:17:35%20GMT	https://leverage-template.webflow.io/service/paid-advertising	C:/My%20Web%20Sites/EdgeMark/leverage-template.webflow.io/service/paid-advertising	(from https://leverage-template.webflow.io/services)
22:47:36	6495/6495	---M--	502	error ('Bad%20Gateway')	text/html	date:Mon,%2014%20Sep%202026%2017:17:35%20GMT	https://leverage-template.webflow.io/service/email-marketing	C:/My%20Web%20Sites/EdgeMark/leverage-template.webflow.io/service/email-marketing	(from https://leverage-template.webflow.io/services)
22:47:37	6495/6495	---M--	502	error ('Bad%20Gateway')	text/html	date:Mon,%2014%20Sep%202026%2017:17:36%20GMT	https://leverage-template.webflow.io/service/web-development	C:/My%20Web%20Sites/EdgeMark/leverage-template.webflow.io/service/web-development	(from https://leverage-template.webflow.io/services)
22:47:37	6495/6495	---M--	502	error ('Bad%20Gateway')	text/html	date:Mon,%2014%20Sep%202026%2017:17:36%20GMT	https://leverage-template.webflow.io/services?caf3cab6_page=2	C:/My%20Web%20Sites/EdgeMark/leverage-template.webflow.io/services6fb4	(from https://leverage-template.webflow.io/services)
22:47:38	36000/36000	---MCZ	200	added ('OK')	text/javascript	etag:W/%228081d284ee6fad2cf7831b6740b9a19d%22	https://cdn.prod.website-files.com/69dcb5467199b638883f4588/js/webflow.b30fd313.12c370d78326a435.js	C:/My%20Web%20Sites/EdgeMark/cdn.prod.website-files.com/69dcb5467199b638883f4588/js/webflow.b30fd313.12c370d78326a435.js	(from https://leverage-template.webflow.io/services)
22:47:38	34498/34498	---MCZ	200	added ('OK')	text/javascript	etag:W/%224b9caa41a42a492f890655c29b09a0de%22	https://cdn.prod.website-files.com/69dcb5467199b638883f4588/js/webflow.289a26ac.873bec06b6fcd542.js	C:/My%20Web%20Sites/EdgeMark/cdn.prod.website-files.com/69dcb5467199b638883f4588/js/webflow.289a26ac.873bec06b6fcd542.js	(from https://leverage-template.webflow.io/contact-us)
22:47:39	6495/6495	---M--	502	error ('Bad%20Gateway')	text/html	date:Mon,%2014%20Sep%202026%2017:17:38%20GMT	https://leverage-template.webflow.io/project/email-campaigns	C:/My%20Web%20Sites/EdgeMark/leverage-template.webflow.io/project/email-campaigns	(from https://leverage-template.webflow.io/projects)
22:47:39	6495/6495	---M--	502	error ('Bad%20Gateway')	text/html	date:Mon,%2014%20Sep%202026%2017:17:39%20GMT	https://leverage-template.webflow.io/project/website-redesign	C:/My%20Web%20Sites/EdgeMark/leverage-template.webflow.io/project/website-redesign	(from https://leverage-template.webflow.io/projects)
22:47:40	6495/6495	---M--	502	error ('Bad%20Gateway')	text/html	date:Mon,%2014%20Sep%202026%2017:17:39%20GMT	https://leverage-template.webflow.io/project/content-expansion	C:/My%20Web%20Sites/EdgeMark/leverage-template.webflow.io/project/content-expansion	(from https://leverage-template.webflow.io/projects)
22:47:40	6495/6495	---M--	502	error ('Bad%20Gateway')	text/html	date:Mon,%2014%20Sep%202026%2017:17:40%20GMT	https://leverage-template.webflow.io/project/ppc-ad-strategy	C:/My%20Web%20Sites/EdgeMark/leverage-template.webflow.io/project/ppc-ad-strategy	(from https://leverage-template.webflow.io/projects)
22:47:41	6495/6495	---M--	502	error ('Bad%20Gateway')	text/html	date:Mon,%2014%20Sep%202026%2017:17:40%20GMT	https://leverage-template.webflow.io/project/social-activation	C:/My%20Web%20Sites/EdgeMark/leverage-template.webflow.io/project/social-activation	(from https://leverage-template.webflow.io/projects)
22:47:42	6495/6495	---M--	502	error ('Bad%20Gateway')	text/html	date:Mon,%2014%20Sep%202026%2017:17:41%20GMT	https://leverage-template.webflow.io/team-member/owen-parker	C:/My%20Web%20Sites/EdgeMark/leverage-template.webflow.io/team-member/owen-parker	(from https://leverage-template.webflow.io/team-member)
22:47:43	6495/6495	---M--	502	error ('Bad%20Gateway')	text/html	date:Mon,%2014%20Sep%202026%2017:17:42%20GMT	https://leverage-template.webflow.io/team-member/lily-martinez	C:/My%20Web%20Sites/EdgeMark/leverage-template.webflow.io/team-member/lily-martinez	(from https://leverage-template.webflow.io/team-member)
22:47:43	6495/6495	---M--	502	error ('Bad%20Gateway')	text/html	date:Mon,%2014%20Sep%202026%2017:17:42%20GMT	https://leverage-template.webflow.io/team-member/cole-harrison	C:/My%20Web%20Sites/EdgeMark/leverage-template.webflow.io/team-member/cole-harrison	(from https://leverage-template.webflow.io/team-member)
22:47:43	76219/76219	---M--	200	added ('OK')	image/jpeg	etag:%226b12c28fb3a76d83f115ac42e49bc801%22	https://cdn.prod.website-files.com/69e362f3ced6e65f05bdec7d/69f9a5a1a4f128cb54dc4431_Team_06.jpg	C:/My%20Web%20Sites/EdgeMark/cdn.prod.website-files.com/69e362f3ced6e65f05bdec7d/69f9a5a1a4f128cb54dc4431_Team_06.jpg	(from https://leverage-template.webflow.io/team-member)
22:47:44	6495/6495	---M--	502	error ('Bad%20Gateway')	text/html	date:Mon,%2014%20Sep%202026%2017:17:43%20GMT	https://leverage-template.webflow.io/team-member/sophia-williams	C:/My%20Web%20Sites/EdgeMark/leverage-template.webflow.io/team-member/sophia-williams	(from https://leverage-template.webflow.io/team-member)
22:47:44	88331/88331	---M--	200	added ('OK')	image/jpeg	etag:%2266726691abc85bcd0f5c5edcef2923c8%22	https://cdn.prod.website-files.com/69e362f3ced6e65f05bdec7d/69f9a577428517a0361c8453_Team_05.jpg	C:/My%20Web%20Sites/EdgeMark/cdn.prod.website-files.com/69e362f3ced6e65f05bdec7d/69f9a577428517a0361c8453_Team_05.jpg	(from https://leverage-template.webflow.io/team-member)
22:47:44	6495/6495	---M--	502	error ('Bad%20Gateway')	text/html	date:Mon,%2014%20Sep%202026%2017:17:44%20GMT	https://leverage-template.webflow.io/team-member/caleb-hughes	C:/My%20Web%20Sites/EdgeMark/leverage-template.webflow.io/team-member/caleb-hughes	(from https://leverage-template.webflow.io/team-member)
22:47:45	68824/68824	---M--	200	added ('OK')	image/jpeg	etag:%2263e42a04b9cc69db8ce828056f979546%22	https://cdn.prod.website-files.com/69e362f3ced6e65f05bdec7d/69f9a58a7e0c5a4dcc306bb6_Team_04.jpg	C:/My%20Web%20Sites/EdgeMark/cdn.prod.website-files.com/69e362f3ced6e65f05bdec7d/69f9a58a7e0c5a4dcc306bb6_Team_04.jpg	(from https://leverage-template.webflow.io/team-member)
